step,loss,val_loss,lr,tok_per_sec,grad_norm,elapsed_sec,tokens_seen,step_ms
0,10.986164,,3e-07,10791.0,5404.0786,24.3,262144.0,24293.9
10,10.781253,,3.3e-06,401678.0,2.487,30.8,2883584.0,652.6
20,10.194504,,6.3e-06,400856.0,1.6958,37.4,5505024.0,654.0
30,9.7988,,9.3e-06,401524.0,0.6826,43.9,8126464.0,652.9
40,9.617988,,1.23e-05,400445.0,0.5399,50.5,10747904.0,654.6
50,9.439216,,1.53e-05,400435.0,0.5178,57.0,13369344.0,654.6
60,9.206222,,1.83e-05,401687.0,0.5653,63.5,15990784.0,652.6
70,8.906649,,2.13e-05,398981.0,0.6309,70.1,18612224.0,657.0
80,8.554079,,2.43e-05,399594.0,1.0478,76.7,21233664.0,656.0
90,8.194038,,2.73e-05,400242.0,0.9139,83.2,23855104.0,655.0
100,7.8403,,3.03e-05,398146.0,0.6391,89.8,26476544.0,658.4
110,7.546238,,3.33e-05,398827.0,0.6051,96.3,29097984.0,657.3
120,7.259687,,3.63e-05,400038.0,0.4802,102.9,31719424.0,655.3
130,7.014525,,3.93e-05,401349.0,0.4735,109.4,34340864.0,653.2
140,6.716155,,4.23e-05,399308.0,0.5326,116.0,36962304.0,656.5
150,6.513095,,4.53e-05,399966.0,0.5349,122.5,39583744.0,655.4
160,6.288042,,4.83e-05,400305.0,0.5165,129.1,42205184.0,654.9
170,6.103508,,5.13e-05,399494.0,0.5467,135.7,44826624.0,656.2
180,5.958199,,5.43e-05,400054.0,0.4294,142.2,47448064.0,655.3
190,5.720993,,5.73e-05,400004.0,0.4105,148.8,50069504.0,655.4
200,5.548756,,6.03e-05,399802.0,0.4471,155.3,52690944.0,655.7
210,5.476975,,6.33e-05,399140.0,0.5777,161.9,55312384.0,656.8
220,5.290496,,6.63e-05,399451.0,0.4393,168.5,57933824.0,656.3
230,5.20858,,6.93e-05,400535.0,0.4219,175.0,60555264.0,654.5
240,5.171276,,7.23e-05,398143.0,0.4575,181.6,63176704.0,658.4
250,4.972743,,7.53e-05,399929.0,0.3893,188.2,65798144.0,655.5
260,4.920116,,7.83e-05,400862.0,0.4414,194.7,68419584.0,654.0
270,4.855161,,8.13e-05,400595.0,0.4528,201.3,71041024.0,654.4
280,4.820891,,8.43e-05,398529.0,0.4449,207.9,73662464.0,657.8
290,4.648424,,8.73e-05,399845.0,0.4355,214.4,76283904.0,655.6
300,4.548797,,9.03e-05,399533.0,0.432,221.0,78905344.0,656.1
310,4.568972,,9.33e-05,399280.0,0.5193,227.6,81526784.0,656.5
320,4.480132,,9.63e-05,399396.0,0.3943,234.1,84148224.0,656.4
330,4.36834,,9.93e-05,398640.0,0.4162,240.7,86769664.0,657.6
340,4.395322,,0.000102,400294.0,0.4621,247.3,89391104.0,654.9
350,4.28658,,0.000105,400425.0,0.4248,253.8,92012544.0,654.7
360,4.306937,,0.000108,399107.0,0.4498,260.4,94633984.0,656.8
370,4.154702,,0.000111,400450.0,0.3993,267.0,97255424.0,654.6
380,4.185168,,0.000114,400334.0,0.4544,273.5,99876864.0,654.8
390,4.077223,,0.000117,398776.0,5.2309,280.1,102498304.0,657.4
400,4.097651,,0.00012,398764.0,0.4455,286.7,105119744.0,657.4
410,4.107361,,0.000123,398817.0,0.4052,293.3,107741184.0,657.3
420,3.948592,,0.000126,398984.0,0.4226,299.8,110362624.0,657.0
430,3.925502,,0.000129,399176.0,0.4256,306.4,112984064.0,656.7
440,3.927674,,0.000132,398873.0,0.3764,313.0,115605504.0,657.2
450,3.859731,,0.000135,400073.0,0.4325,319.5,118226944.0,655.2
460,3.908229,,0.000138,399033.0,0.4166,326.1,120848384.0,656.9
470,3.876084,,0.000141,399647.0,0.4289,332.7,123469824.0,655.9
480,3.80368,,0.000144,398785.0,0.3623,339.3,126091264.0,657.4
490,3.720556,,0.000147,400354.0,0.3881,345.8,128712704.0,654.8
500,3.727325,,0.00015,399364.0,0.3502,352.4,131334144.0,656.4
510,3.678822,,0.000153,399762.0,0.3512,371.5,133955584.0,655.8
520,3.671937,,0.000156,398877.0,0.3676,378.1,136577024.0,657.2
530,3.677589,,0.000159,400258.0,0.5987,384.6,139198464.0,654.9
540,3.616888,,0.000162,398862.0,0.4,391.2,141819904.0,657.2
550,3.650715,,0.000165,399294.0,0.3633,397.8,144441344.0,656.5
560,3.655629,,0.000168,398884.0,0.3661,404.4,147062784.0,657.2
570,3.526409,,0.000171,397553.0,0.3273,410.9,149684224.0,659.4
580,3.517723,,0.000174,401367.0,0.3209,417.5,152305664.0,653.1
590,3.490909,,0.000177,398852.0,0.4315,424.1,154927104.0,657.2
600,3.532883,,0.00018,399226.0,0.3706,430.7,157548544.0,656.6
610,3.472044,,0.000183,397600.0,0.3129,437.2,160169984.0,659.3
620,3.494539,,0.000186,400754.0,0.3075,443.8,162791424.0,654.1
630,3.388164,,0.000189,399363.0,0.3511,450.4,165412864.0,656.4
