step,loss,val_loss,lr,tok_per_sec,grad_norm,elapsed_sec,tokens_seen,step_ms
10,1.982703,,7.14e-06,174347,1.7545,12.1,2157056,1091.0
20,1.921668,,1.43e-05,162606,0.9124,23.2,4334848,1105.2
30,1.866948,,2.00e-05,201642,0.8035,34.4,6357248,1099.5
40,1.82598,,2.00e-05,226403,0.747,46.0,8739072,1154.5
50,1.774013,,1.99e-05,150047,0.7354,57.4,11004928,1095.3
60,1.779706,,1.99e-05,204406,0.6955,68.7,13268992,1133.4
70,1.769649,,1.98e-05,223596,0.7568,79.8,15516416,1076.2
80,1.746341,,1.96e-05,220899,0.7271,91.1,17826560,1062.7
90,1.739819,,1.95e-05,218373,0.7425,102.4,20154112,1184.0
100,1.69582,,1.93e-05,190719,0.713,113.8,22521600,1154.4
110,1.688139,,1.90e-05,155656,0.6976,125.2,24731648,1166.1
120,1.698901,,1.88e-05,194545,0.7356,136.6,27082240,1144.8
130,1.661877,,1.85e-05,179291,0.7256,147.9,29275648,1100.9
140,1.656458,,1.82e-05,211310,0.6897,159.4,31540736,1226.0
150,1.648044,,1.79e-05,206423,0.6425,170.8,33955584,1178.2
160,1.629029,,1.76e-05,211536,0.6908,181.9,36234240,1089.2
170,1.621088,,1.72e-05,211510,0.6174,193.1,38425088,1122.0
180,1.616542,,1.68e-05,197206,0.5862,204.5,40654848,1122.9
190,1.618432,,1.64e-05,218218,0.5882,215.9,43029504,1128.6
200,1.521114,,1.60e-05,208434,0.5744,226.9,45372160,1181.5
200,,1.581358,,,,,,
210,1.608902,,1.55e-05,180384,0.5977,241.7,47507712,1094.2
220,1.584306,,1.51e-05,185917,0.5815,253.0,49610752,1078.2
230,1.54953,,1.46e-05,213563,0.5669,264.4,51924480,1169.9
240,1.578832,,1.41e-05,212228,0.5578,275.8,54126848,1150.8
250,1.559767,,1.37e-05,168088,0.5518,287.2,56407296,1207.8
260,1.566259,,1.32e-05,214191,0.5645,298.6,58643968,1140.2
270,1.554526,,1.26e-05,190913,0.582,309.9,60812032,1084.8
280,1.580903,,1.21e-05,207999,0.567,321.0,62999296,1126.2
290,1.568467,,1.16e-05,180225,0.5522,332.4,65290496,1186.1
300,1.557049,,1.11e-05,190240,0.5779,343.7,67375616,1103.4
310,1.565541,,1.06e-05,227248,0.5556,355.0,69583872,1114.1
320,1.544866,,1.01e-05,188524,0.5771,366.3,71810816,1091.8
330,1.54776,,9.56e-06,197744,0.5758,377.9,74196992,1135.4
340,1.530839,,9.05e-06,207314,0.5661,389.2,76558592,1160.7
350,1.530544,,8.55e-06,209362,0.5426,400.7,78900992,1193.4
360,1.531687,,8.05e-06,211657,0.567,411.9,81148416,1098.2
370,1.531126,,7.57e-06,227907,0.5531,423.2,83365888,1035.7
380,1.553119,,7.10e-06,193775,0.5671,434.6,85762816,1185.0
390,1.476916,,6.64e-06,218970,0.5187,445.5,88047616,1141.0
400,1.518562,,6.19e-06,186926,0.5314,456.7,90173952,1107.9
400,,1.531163,,,,,,
410,1.522794,,5.76e-06,214834,0.5647,471.4,92447488,1165.4
420,1.502604,,5.35e-06,216021,0.5479,482.7,94775040,1096.2
430,1.523853,,4.95e-06,175916,0.5332,494.1,96958976,1127.8
440,1.520399,,4.58e-06,212957,0.5729,505.3,99113216,1104.8
450,1.49789,,4.23e-06,206510,0.5308,516.7,101422848,1177.7
460,1.506193,,3.90e-06,209691,0.5484,528.3,103789056,1129.3
470,1.494153,,3.59e-06,176091,0.517,539.5,106024448,1155.8
480,1.510996,,3.31e-06,159262,0.544,551.0,108331008,1091.4
490,1.506367,,3.06e-06,229447,0.557,562.1,110685440,1134.7
500,1.494146,,2.83e-06,209384,0.5677,573.7,113027584,1111.4
510,1.511148,,2.62e-06,228481,0.5483,586.7,115255040,1132.8
520,1.504078,,2.45e-06,209924,0.5483,597.9,117485568,1089.0
530,1.516273,,2.30e-06,203823,0.5434,609.3,119713280,1100.2
540,1.494379,,2.18e-06,230202,0.5551,620.4,121965056,1137.6
550,1.496328,,2.09e-06,203742,0.5476,631.8,124361728,1177.3
560,1.491743,,2.03e-06,159617,0.5223,643.1,126516480,1124.3
570,1.503774,,2.00e-06,214472,0.5489,654.5,128814848,1148.3
574,,1.520257,,,,,,
