step,loss,val_loss,lr,tok_per_sec,grad_norm,elapsed_sec,tokens_seen,step_ms
0,2.257452,,4.84e-06,209825,3.0108,1.2,158048,1249.3
10,1.913272,,5.32e-05,388784,1.0244,8.2,1509952,674.3
20,2.032318,,1.02e-04,360790,1.8744,15.0,2864928,726.6
30,1.669072,,1.50e-04,521035,1.2534,21.6,4153472,503.1
40,1.70894,,1.98e-04,408253,0.9308,28.0,5415264,642.1
50,1.610697,,2.47e-04,423355,0.8563,34.6,6699456,619.2
60,1.658924,,2.95e-04,411238,1.0654,41.1,7980992,637.5
70,1.571941,,3.00e-04,501351,1.1647,47.1,9140704,522.9
80,1.6172,,3.00e-04,387091,0.8052,53.7,10465216,677.2
90,1.676844,,3.00e-04,312574,0.844,60.1,11716512,838.7
100,1.733103,,3.00e-04,297399,0.8944,67.2,13142144,881.5
110,1.535566,,3.00e-04,487427,1.0412,73.5,14390368,537.8
120,1.553279,,2.99e-04,385231,0.7664,79.7,15630880,680.5
130,1.522221,,2.99e-04,435206,0.8907,86.3,16942080,602.3
140,1.554327,,2.99e-04,658599,0.9514,92.7,18229760,398.0
150,1.761936,,2.99e-04,418690,1.3858,98.8,19421312,626.1
160,1.418899,,2.98e-04,416465,0.7427,105.1,20675488,629.4
170,1.327244,,2.98e-04,524606,0.7555,111.4,21951808,499.7
180,1.527829,,2.98e-04,494224,0.9672,117.6,23179648,530.4
190,1.385089,,2.97e-04,597671,0.8668,123.0,24238400,438.6
200,1.561903,,2.97e-04,309375,0.6561,130.2,25686144,847.3
200,,1.594437,,,,,,
210,1.474104,,2.96e-04,455720,0.8533,155.2,26920032,575.2
220,1.570187,,2.96e-04,374712,0.8492,161.4,28168640,699.6
230,1.28625,,2.95e-04,543773,0.8208,168.1,29517184,482.1
240,1.486316,,2.95e-04,362650,0.6931,174.5,30778624,722.9
250,1.479894,,2.94e-04,329105,0.6318,181.4,32170336,796.5
260,1.408169,,2.94e-04,449400,0.7618,187.9,33483520,583.3
270,1.398484,,2.93e-04,396303,0.7468,194.3,34774048,661.5
280,1.445771,,2.92e-04,528305,0.8501,200.7,36055808,496.2
290,1.439815,,2.92e-04,412480,0.7385,207.2,37356480,635.5
300,1.410827,,2.91e-04,426474,0.7428,214.2,38785824,614.7
310,1.312551,,2.90e-04,449514,0.7792,220.9,40136352,583.2
320,1.311542,,2.89e-04,467226,0.7608,226.7,41297280,561.1
330,1.471017,,2.88e-04,448196,0.8654,233.2,42592992,584.9
340,1.494744,,2.88e-04,330240,0.7387,239.4,43834432,793.8
350,1.425866,,2.87e-04,435611,0.8045,245.2,45009056,601.8
360,1.283154,,2.86e-04,790927,0.9298,250.6,46071904,331.4
370,1.301321,,2.85e-04,498573,0.8346,256.4,47207904,525.8
380,1.436845,,2.84e-04,381630,0.7539,262.0,48310848,686.9
390,1.520325,,2.83e-04,319453,0.7117,268.4,49593184,820.6
400,1.316769,,2.82e-04,527840,0.9345,275.3,50987392,496.6
400,,1.51665,,,,,,
410,1.366585,,2.81e-04,440457,0.7338,298.2,52387712,595.2
420,1.419876,,2.80e-04,342720,0.6388,305.0,53757120,764.9
430,1.462178,,2.79e-04,304040,0.6458,311.2,54991584,862.2
440,1.445952,,2.77e-04,375650,0.7121,317.2,56181184,697.8
450,1.346671,,2.76e-04,467606,1.0271,323.3,57404320,560.6
460,1.391566,,2.75e-04,379459,0.599,330.2,58799072,690.8
470,1.412056,,2.74e-04,439218,0.6942,336.7,60081632,596.8
480,1.499337,,2.73e-04,379432,0.8026,342.8,61297184,690.9
490,1.329236,,2.71e-04,437618,0.7569,349.6,62691456,599.0
500,1.558039,,2.70e-04,353501,0.7786,356.6,64113248,741.6
510,1.527646,,2.69e-04,372798,1.0958,362.7,65333408,703.2
520,1.278882,,2.67e-04,437168,0.7487,368.6,66489088,599.6
530,1.111036,,2.66e-04,697633,0.7745,374.7,67708288,375.8
540,1.456012,,2.65e-04,438781,0.8306,381.0,68974400,597.4
550,1.335904,,2.63e-04,430259,0.6865,386.9,70160640,609.3
560,1.377942,,2.62e-04,389537,0.6605,392.6,71280128,673.0
570,1.385355,,2.60e-04,341604,0.6565,399.6,72698688,767.4
580,1.310234,,2.59e-04,544651,1.0134,406.1,74001152,481.3
590,1.436951,,2.57e-04,339385,0.7143,412.4,75274816,772.4
600,1.250842,,2.56e-04,445361,0.6553,418.9,76576512,588.6
600,,1.470837,,,,,,
610,1.416055,,2.54e-04,428048,0.7584,446.1,77965696,612.4
620,1.181361,,2.52e-04,732179,0.8721,452.3,79225152,358.0
630,1.230767,,2.51e-04,573035,0.7731,458.8,80530336,457.5
640,1.382793,,2.49e-04,371896,0.631,465.3,81849920,704.9
650,1.454433,,2.48e-04,285723,0.5718,472.2,83231296,917.5
660,1.204064,,2.46e-04,495627,0.7089,478.3,84444608,528.9
670,1.437127,,2.44e-04,335888,0.6618,484.3,85646208,780.5
680,1.409111,,2.43e-04,556482,0.8325,489.9,86773696,471.1
690,1.265109,,2.41e-04,414345,0.6259,495.7,87921920,632.7
700,1.345096,,2.39e-04,331419,0.6148,501.9,89149984,791.0
710,1.470974,,2.37e-04,346737,0.9438,508.1,90390560,756.0
720,1.432251,,2.36e-04,351355,0.7222,514.6,91695200,746.1
730,1.400569,,2.34e-04,319994,0.6622,521.3,93037952,819.2
740,1.399259,,2.32e-04,365214,0.7083,527.6,94302912,717.8
750,1.216762,,2.30e-04,671733,0.8851,533.7,95531040,390.3
760,1.258618,,2.28e-04,384200,0.5612,540.7,96928576,682.3
770,1.357565,,2.26e-04,415076,0.6655,547.3,98247360,631.6
780,1.45625,,2.24e-04,320612,0.6062,553.8,99550016,817.6
790,1.235664,,2.23e-04,400344,0.6593,560.2,100844544,654.8
800,1.256305,,2.21e-04,432613,0.6343,566.1,102026176,606.0
800,,1.426827,,,,,,
810,1.244987,,2.19e-04,460458,0.6589,588.5,103219520,569.3
820,1.262099,,2.17e-04,471440,0.6935,594.8,104462432,556.0
830,1.305218,,2.15e-04,545967,0.8651,600.8,105640960,480.1
840,1.369352,,2.13e-04,499255,0.9917,607.8,107053088,525.1
850,1.326893,,2.11e-04,525117,0.9395,614.1,108271168,499.2
